"X1" "X2" "X3" "yc"
"179" 1.39 14.31 3.53 8.91519166033228
"180" 1.39 14.31 3.53 13.4415584415584
"181" 1.39 14.31 3.53 16.8644254010108
"182" 1.39 14.31 3.53 15.0247660979637
"183" 1.39 14.31 3.53 5.94318058125612
"184" 1.39 14.31 3.53 17.0089578326415
"185" 1.44 7.44 6.68 9.75370531822145
"186" 1.44 7.44 6.68 12.7585074953496
"187" 1.44 7.44 6.68 9.55105633802818
"188" 1.44 7.44 6.68 9.1719885487778
"189" 1.44 7.44 6.68 9.01137357830271
"190" 1.44 7.44 6.68 12.290008841733
"191" 1.44 7.44 6.68 10.6584452763709
"192" 1.44 7.44 6.68 11.6622281402574
"193" 1.5 2.4 12.08 9.13931753966529
"194" 1.5 2.4 12.08 9.24081451969898
"195" 1.5 2.4 12.08 7.24464266289568
"196" 1.5 2.4 12.08 7.50740862693448
"197" 1.5 2.4 12.08 7.39197192366747
"198" 1.5 2.4 12.08 7.91471310560393
"199" 1.5 2.4 12.08 7.62444178194096
"200" 1.5 2.4 12.08 9.4819051809482
"201" 1.55 9.73 8.03 9.18015102481122
"202" 1.55 9.73 8.03 10.70691714627
"203" 1.55 9.73 8.03 8.76480912681
"204" 1.55 9.73 8.03 10.161587680295
"205" 1.55 9.73 8.03 8.41212911640039
"206" 1.55 9.73 8.03 9.3905541422409
"207" 1.55 9.73 8.03 8.68998479252661
"208" 1.55 9.73 8.03 10.9017643214986
"209" 1.61 12.94 13.88 8.08069910454202
"210" 1.61 12.94 13.88 5.67010309278351
"211" 1.61 12.94 13.88 5.59199913969244
"212" 1.61 12.94 13.88 7.56885708089352
"213" 1.61 12.94 13.88 7.75328483005755
"214" 1.61 12.94 13.88 7.57077024358131
"215" 1.61 12.94 13.88 6.73045558334239
"216" 1.61 12.94 13.88 9.02937001856097
"217" 1.66 3.77 2.63 18.0636777128005
"218" 1.66 3.77 2.63 20.1302224633749
"219" 1.66 3.77 2.63 20.3979558551702
"220" 1.66 3.77 2.63 23.8450719463378
"221" 1.66 3.77 2.63 19.0817323347444
"222" 1.66 3.77 2.63 21.8671336324833
"223" 1.66 3.77 2.63 25.5672565410922
"224" 1.66 3.77 2.63 20.904202787227
"225" 1.72 11.56 5.78 9.26707805564577
"226" 1.72 11.56 5.78 10.9868635327326
"227" 1.72 11.56 5.78 9.30611358453686
"228" 1.72 11.56 5.78 10.5519480519481
"229" 1.72 11.56 5.78 8.07514831905075
"230" 1.72 11.56 5.78 11.3593835993396
"231" 1.72 11.56 5.78 9.15423968651355
"232" 1.72 11.56 5.78 9.63513218265239
"233" 1.77 6.06 10.28 7.82476024411509
"234" 1.77 6.06 10.28 10.0010942116205
"235" 1.77 6.06 10.28 6.64612676056339
"236" 1.77 6.06 10.28 6.37524774278794
"237" 1.77 6.06 10.28 7.61154855643044
"238" 1.77 6.06 10.28 8.66489832007074
"239" 1.77 6.06 10.28 8.05989870072671
"240" 1.77 6.06 10.28 9.37638703950289
